metrocast_location_id,age,population
el-paso,1,11271
el-paso,2,11503
el-paso,3,10688
el-paso,4,11389
el-paso,5,11689
el-paso,6,11890
el-paso,7,12450
el-paso,8,12957
el-paso,9,12975
el-paso,10,13074
el-paso,11,12910
el-paso,12,12861
el-paso,13,13004
el-paso,14,12805
el-paso,15,12926
el-paso,16,13476
el-paso,17,13529
el-paso,18,13050
el-paso,19,13062
el-paso,20,13721
el-paso,21,13953
el-paso,22,14088
el-paso,23,14114
el-paso,24,13903
el-paso,25,13613
el-paso,26,13375
el-paso,27,13281
el-paso,28,13441
el-paso,29,13481
el-paso,30,13485
el-paso,31,13526
el-paso,32,13718
el-paso,33,13815
el-paso,34,13454
el-paso,35,12518
el-paso,36,12086
el-paso,37,12108
el-paso,38,12216
el-paso,39,12246
el-paso,40,11721
el-paso,41,11815
el-paso,42,11679
el-paso,43,11094
el-paso,44,10809
el-paso,45,9959
el-paso,46,9883
el-paso,47,9872
el-paso,48,10046
el-paso,49,10147
el-paso,50,10174
el-paso,51,10235
el-paso,52,10205
el-paso,53,10023
